date,1. open,2. high,3. low,4. close,5. volume
2018-10-16 15:23:00,6.395,6.395,6.395,6.395,5181.0
2018-10-16 15:24:00,6.395,6.395,6.395,6.395,6917.0
2018-10-16 15:25:00,6.39,6.395,6.38,6.3875,61382.0
2018-10-16 15:26:00,6.39,6.39,6.39,6.39,6419.0
2018-10-16 15:27:00,6.385,6.385,6.385,6.385,2005.0
2018-10-16 15:28:00,6.38,6.38,6.38,6.38,1917.0
2018-10-16 15:29:00,6.385,6.385,6.38,6.385,5921.0
2018-10-16 15:30:00,6.385,6.385,6.385,6.385,3410.0
2018-10-16 15:31:00,6.385,6.3875,6.385,6.3875,7234.0
2018-10-16 15:32:00,6.3875,6.3875,6.38,6.385,13828.0
2018-10-16 15:33:00,6.38,6.3875,6.38,6.3875,30596.0
2018-10-16 15:34:00,6.3875,6.3875,6.385,6.385,14660.0
2018-10-16 15:35:00,6.385,6.39,6.385,6.385,20057.0
2018-10-16 15:36:00,6.38,6.39,6.38,6.385,11606.0
2018-10-16 15:37:00,6.385,6.385,6.385,6.385,14626.0
2018-10-16 15:38:00,6.38,6.385,6.38,6.385,12297.0
2018-10-16 15:39:00,6.39,6.39,6.38,6.385,22289.0
2018-10-16 15:40:00,6.38,6.39,6.38,6.385,79722.0
2018-10-16 15:41:00,6.385,6.39,6.38,6.385,130145.0
2018-10-16 15:42:00,6.385,6.39,6.3837,6.385,66477.0
2018-10-16 15:43:00,6.385,6.39,6.38,6.39,32013.0
2018-10-16 15:44:00,6.385,6.385,6.38,6.38,30670.0
2018-10-16 15:45:00,6.385,6.39,6.385,6.39,110140.0
2018-10-16 15:46:00,6.39,6.4,6.39,6.395,65573.0
2018-10-16 15:47:00,6.395,6.4,6.39,6.395,40051.0
2018-10-16 15:48:00,6.4,6.4,6.39,6.395,33759.0
2018-10-16 15:49:00,6.4,6.42,6.4,6.415,229070.0
2018-10-16 15:50:00,6.4175,6.4175,6.405,6.41,143178.0
2018-10-16 15:51:00,6.41,6.435,6.41,6.435,130163.0
2018-10-16 15:52:00,6.435,6.435,6.43,6.435,21525.0
2018-10-16 15:53:00,6.435,6.44,6.43,6.435,56061.0
2018-10-16 15:54:00,6.435,6.44,6.43,6.44,29140.0
2018-10-16 15:55:00,6.435,6.44,6.43,6.43,25320.0
2018-10-16 15:56:00,6.435,6.435,6.43,6.435,25794.0
2018-10-16 15:57:00,6.43,6.435,6.42,6.42,186394.0
2018-10-16 15:58:00,6.425,6.425,6.42,6.42,25908.0
2018-10-16 15:59:00,6.42,6.42,6.41,6.42,76717.0
2018-10-16 16:00:00,6.415,6.42,6.41,6.41,110646.0
2018-10-17 09:31:00,6.45,6.45,6.45,6.45,51272.0
2018-10-17 09:33:00,6.45,6.45,6.445,6.445,51088.0
2018-10-17 09:34:00,6.44,6.44,6.44,6.44,8834.0
2018-10-17 09:35:00,6.44,6.44,6.44,6.44,11444.0
2018-10-17 09:36:00,6.4325,6.44,6.4325,6.44,23579.0
2018-10-17 09:37:00,6.42,6.42,6.42,6.42,5922.0
2018-10-17 09:39:00,6.42,6.42,6.42,6.42,2409.0
2018-10-17 09:40:00,6.425,6.425,6.425,6.425,2726.0
2018-10-17 09:41:00,6.425,6.425,6.425,6.425,1731.0
2018-10-17 09:42:00,6.44,6.44,6.44,6.44,10021.0
